epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.868,2.37214,5.14327,1.45937,0.4877,0.55753,0.47138,0.21446,1.45928,35.551,0.97392,0.00332709,0.00332709,0.00332709
2,248.201,1.9702,2.62212,1.24832,0.67865,0.73309,0.72428,0.31682,1.39968,26.3628,0.94648,0.00659449,0.00659449,0.00659449
3,362.463,1.96435,1.98879,1.2584,0.58665,0.72476,0.64135,0.2814,1.41856,86.5895,0.9649,0.00979588,0.00979588,0.00979588
4,472.813,1.94953,1.65373,1.25152,0.62267,0.74257,0.66594,0.29795,1.39676,46.4181,0.95266,0.009703,0.009703,0.009703
5,580.627,1.89622,1.43358,1.22286,0.82036,0.66511,0.76261,0.36325,1.37321,1.69391,0.94271,0.009604,0.009604,0.009604
6,688.1,1.85226,1.31041,1.20342,0.89106,0.78013,0.88236,0.42434,1.34322,2.03388,0.92149,0.009505,0.009505,0.009505
7,796.234,1.8332,1.24152,1.19621,0.88125,0.84015,0.91264,0.44922,1.31931,11.5416,0.90631,0.009406,0.009406,0.009406
8,906.577,1.80148,1.16713,1.17851,0.91379,0.89195,0.94288,0.46018,1.29599,9.21277,0.90179,0.009307,0.009307,0.009307
9,1016.76,1.77735,1.12183,1.16807,0.74889,0.91327,0.87383,0.43487,1.28869,39.4005,0.89093,0.009208,0.009208,0.009208
10,1127.5,1.777,1.0845,1.16622,0.92323,0.88799,0.94422,0.46957,1.29627,12.3077,0.89431,0.009109,0.009109,0.009109
11,1238.08,1.75849,1.04465,1.15121,0.93729,0.92242,0.95766,0.47895,1.28026,8.00741,0.88617,0.00901,0.00901,0.00901
12,1348.13,1.75056,1.03898,1.14656,0.94873,0.88385,0.94757,0.48703,1.2644,0.87359,0.88373,0.008911,0.008911,0.008911
13,1457.16,1.74126,1.0047,1.14042,0.93454,0.89558,0.95152,0.48191,1.25929,0.93145,0.87586,0.008812,0.008812,0.008812
